Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,05-26-2020,15650,580,7951.0,7119.0,319.1802879148962,193759.0,1671.0,3.7060702875399363,3951.696703265327,10.677316293929712,936605,34,260,1456,578,271,49,23,7819,14327,12,65,1466,1031,149,198,1319,5770,20,183,67,552,145,9335,1375,38,87,91,30,136,101,292,1579,26,884,558,66,419,10,746,14,8587,3530,134,10,570,115,120,215,19
Alabama,05-27-2020,16032,583,7951.0,7498.0,326.97114222694023,195794.0,1719.0,3.6364770459081837,3993.200338147551,10.722305389221557,938156,43,252,1405,512,278,47,25,8152,12972,16,62,1324,894,121,200,1334,5464,17,161,79,512,141,9169,1390,42,64,82,24,135,94,240,1800,33,810,505,81,439,21,881,26,8184,3549,122,11,588,104,130,259,29
Alabama,05-28-2020,16530,591,9355.0,6584.0,337.12780570180405,200481.0,1765.0,3.5753176043557167,4088.791265269412,10.677555958862676,1000829,37,282,1397,457,322,47,35,8772,13893,25,40,1406,938,161,218,1371,6416,11,165,79,529,92,10129,1243,34,63,99,20,172,97,257,1716,33,769,537,55,460,22,922,23,8630,3598,101,12,559,126,167,240,35
Alabama,05-29-2020,17031,610,9355.0,7066.0,347.3456538963959,208883.0,1800.0,3.5817039516176385,4260.14927032123,10.568962480183195,1077224,42,267,1583,479,310,45,33,10576,17851,31,29,1546,1170,185,180,1648,7506,21,203,110,536,116,12507,1349,29,98,80,25,187,79,333,1966,51,981,685,67,448,13,1136,25,10203,4015,102,18,633,137,135,253,46
Alabama,05-30-2020,17359,618,9355.0,7386.0,354.03518325333437,212201.0,1826.0,3.560112909729824,4327.8195703405045,10.519039115156405,994810,46,271,1919,452,325,39,26,11538,22643,18,41,1827,1615,163,233,2227,8263,29,205,80,506,105,14089,1517,22,105,90,17,200,73,318,2245,49,1159,833,61,371,18,1337,19,12645,4434,118,11,698,108,124,256,30
Alabama,05-31-2020,17952,630,9355.0,7967.0,366.12936285292113,217553.0,1844.0,3.5093582887700534,4436.973110335425,10.271836007130123,897758,40,225,1374,392,278,35,30,9120,17287,21,37,1334,1199,145,144,1680,7581,17,190,82,462,97,11495,1178,20,83,72,12,164,66,270,1937,57,853,712,51,340,12,1166,18,8797,3658,80,10,610,69,106,213,34
Alabama,06-01-2020,18630,646,9355.0,8629.0,379.95710951147066,223523.0,1856.0,3.467525496511004,4558.730702594334,9.962426194310252,993807,36,243,1321,440,271,40,27,9204,14021,20,40,1263,1136,166,216,1388,6053,12,207,99,448,96,9383,1237,25,89,76,15,131,86,290,1907,49,779,687,66,327,14,1069,24,8101,3764,91,2,574,77,102,202,29
Alabama,06-02-2020,18766,653,9355.0,8758.0,382.7308168058108,223802.0,1879.0,3.479697324949377,4564.420881529048,10.012789086646062,983633,38,244,1282,429,292,59,25,8798,13309,18,30,1190,1320,159,244,1944,5244,14,172,109,455,99,8403,1239,27,104,68,20,159,74,294,2075,39,799,629,65,362,11,1211,30,7688,3671,105,13,574,93,115,194,32
Alabama,06-03-2020,18851,653,11395.0,6803.0,384.4643838647737,231594.0,1900.0,3.4640072144713807,4723.337993569486,10.079040899687019,1001845,32,250,1291,428,289,45,23,8790,14042,23,25,1410,1458,179,229,2159,5491,21,215,85,510,111,8915,1254,34,108,77,21,142,64,299,2151,26,835,651,63,358,22,1329,18,8155,3923,112,7,568,103,95,208,31
Alabama,06-04-2020,19072,653,11395.0,7024.0,388.97165821807664,235299.0,1929.0,3.4238674496644297,4798.901122433684,10.114303691275168,1019504,39,244,1280,459,279,54,16,9449,14588,25,28,1389,1498,153,275,2284,5942,13,191,102,539,127,9612,1273,32,92,95,19,154,70,342,2187,30,825,614,64,396,14,1363,24,8532,3937,131,4,637,91,99,200,40
Alabama,06-05-2020,19387,676,11395.0,7316.0,395.3960537895266,239473.0,1949.0,3.486872646618868,4884.02946248204,10.053128385000257,1065321,46,212,1478,496,338,56,24,10815,17171,13,47,1543,1680,175,289,2692,6157,13,248,101,528,111,11413,1397,28,110,97,29,133,99,356,2339,36,1142,663,64,396,20,1426,18,9924,4281,135,7,739,95,126,190,49
Alabama,06-06-2020,20043,689,11395.0,7959.0,408.7751125034034,245644.0,1993.0,3.4376091403482514,5009.8864309627315,9.943621214389065,991948,56,221,1974,459,305,63,33,10744,21849,13,29,2008,2574,180,296,3693,6901,13,250,104,622,120,12621,1638,25,77,87,26,162,91,379,2490,39,1600,886,54,433,21,1604,17,13358,4770,131,4,774,73,137,250,37
Alabama,06-07-2020,20500,692,11395.0,8413.0,418.0955848086499,259566.0,2022.0,3.3756097560975613,5293.824320314245,9.86341463414634,871549,46,198,1416,424,306,52,23,7849,16130,15,20,1264,1599,150,223,2465,4584,16,171,87,438,100,8662,1201,28,56,80,21,164,108,313,2152,32,934,669,54,375,21,1344,24,8398,3715,85,10,580,87,98,198,26
Alabama,06-08-2020,20925,718,11395.0,8812.0,426.7634201034634,259991.0,2054.0,3.4313022700119475,5302.4921556090585,9.816009557945042,977349,47,244,1312,472,313,54,14,8996,13142,16,34,1322,1435,142,252,2321,4310,13,153,86,428,124,7631,1157,45,73,105,32,166,140,293,2263,35,830,611,58,377,14,1403,21,7716,3928,129,14,618,105,84,209,23
Alabama,06-09-2020,21422,729,11395.0,9298.0,436.8996886717511,267739.0,2087.0,3.4030436000373454,5460.511891760152,9.742320978433387,988568,38,207,1291,511,334,47,17,8904,12471,12,51,1310,1222,176,223,1748,4197,23,167,101,436,144,7948,1236,31,93,103,25,131,140,379,1693,32,733,631,68,446,17,1178,33,7657,4001,96,19,529,99,104,229,20
Alabama,06-10-2020,21989,744,13508.0,7737.0,448.4636007003611,273057.0,2129.0,3.3835099367865755,5568.972004931488,9.682113784164807,1013042,26,216,1345,433,269,75,15,9085,13232,8,48,1437,1247,157,237,1721,4783,21,138,92,486,132,8824,1220,25,89,82,23,157,117,390,1562,13,819,688,63,417,13,1141,33,8202,4158,79,13,503,86,102,225,15
Alabama,06-11-2020,22845,755,13508.0,8582.0,465.9216407294442,278826.0,2165.0,3.3048807178813746,5686.6302209686155,9.476909608229372,1044411,27,190,1486,484,280,70,18,9835,15193,13,48,1425,1376,181,215,2004,5806,19,149,111,530,122,10521,1377,24,115,81,19,207,132,437,1562,27,888,690,57,405,16,1200,33,9212,4419,89,7,507,99,112,196,20
Alabama,06-12-2020,23710,769,13508.0,9433.0,483.5632349177117,286385.0,2202.0,3.2433572332349216,5840.795319776839,9.287220582032898,1070262,26,209,1836,539,254,55,13,10979,18647,12,31,1805,1676,173,292,2595,7012,21,177,103,567,148,12924,1419,30,120,87,19,238,118,313,1796,27,1170,756,54,365,5,1366,29,10918,4781,76,14,539,89,133,229,37
Alabama,06-13-2020,24601,773,13508.0,10320.0,501.7350966769559,293252.0,2241.0,3.1421486931425555,5980.8471432344495,9.109385797325313,1023904,22,232,2637,532,320,57,20,12668,25401,12,41,2537,2582,209,296,4063,8607,25,219,85,633,132,15883,1985,22,144,83,17,219,123,306,2140,32,2153,970,54,413,12,1737,42,15133,6090,104,8,698,95,170,275,26
Alabama,06-14-2020,25615,773,13508.0,11334.0,522.4155319450521,297455.0,2255.0,3.017763029474917,6066.566935573511,8.803435487019325,904586,21,217,1919,446,289,54,11,10325,18866,16,38,1711,1529,187,266,2641,7451,22,186,115,499,123,13034,1374,34,84,77,20,174,120,304,2042,30,1226,729,52,429,19,1471,23,10052,5002,97,7,570,65,113,260,18
Alabama,06-15-2020,26272,774,13508.0,11990.0,535.8149855655048,302674.0,2259.0,2.946102314250913,6173.007952993819,8.598507917174176,977151,28,170,1745,431,255,61,18,9210,14109,10,42,1410,1181,159,299,1985,5750,29,154,89,476,132,9728,1206,30,75,87,22,129,109,299,1696,26,877,744,57,365,9,1265,27,8603,4559,84,5,526,102,95,238,19
Alabama,06-16-2020,26912,785,13508.0,12619.0,548.8677257741651,305424.0,2315.0,2.9169143876337693,6229.093946077906,8.602110582639714,969140,25,204,1667,523,255,69,31,8607,12816,17,33,1231,1071,190,320,1609,5145,11,170,76,394,98,9074,1242,33,102,92,26,136,91,267,1251,31,894,815,35,305,8,868,28,7890,4436,75,5,523,107,138,215,22
Alabama,06-17-2020,27312,790,15974.0,10548.0,557.0256884045779,310723.0,2352.0,2.8925014645577036,6337.166556024298,8.611599297012303,1015208,24,175,1899,517,278,62,21,9302,13880,14,56,1397,1132,172,300,1786,5786,14,169,69,380,135,9995,1341,54,87,109,19,138,93,292,1235,38,954,850,48,329,11,884,17,8517,4759,85,7,521,107,138,210,29
Alabama,06-18-2020,28206,810,15974.0,11422.0,575.2587348835502,322534.0,2373.0,2.8717294192724947,6578.050797593809,8.413103594979791,1012573,31,183,1919,540,269,58,23,9426,15056,12,47,1351,1194,179,257,2003,6346,19,150,70,467,120,10485,1360,32,58,88,18,150,94,337,1206,40,1144,855,54,339,13,894,23,9078,4984,65,6,539,123,122,210,22
Alabama,06-19-2020,29002,822,15974.0,12206.0,591.4930805180716,331325.0,2416.0,2.834287290531688,6757.342421303702,8.33045996827805,1043161,24,195,2272,505,251,57,46,10803,19079,12,57,1829,1722,236,302,2827,7425,22,233,122,532,107,13255,1508,30,77,78,20,194,116,304,1334,37,1622,901,44,368,14,1046,28,12192,5426,57,4,669,106,170,226,19
Alabama,06-20-2020,29549,838,15974.0,12737.0,602.6490944151608,339523.0,2443.0,2.8359673762225457,6924.539865414013,8.267623269823005,992576,25,213,3472,564,296,60,33,13113,25817,15,90,2488,2784,247,300,4962,8485,22,270,98,688,117,16479,2151,41,110,89,30,184,105,341,1552,30,2405,1188,45,460,11,1427,30,18566,6268,61,2,829,109,192,306,20
Alabama,06-21-2020,30021,839,15974.0,13208.0,612.2754903190478,344678.0,2460.0,2.7947103694080813,7029.675608813454,8.194264015189367,863483,22,196,2162,531,266,50,16,9830,18404,14,62,1446,1513,166,252,2578,6840,16,210,101,455,103,12482,1455,30,96,113,18,137,107,254,1195,39,1236,772,38,337,10,977,28,12092,4939,71,6,595,113,105,224,19
Alabama,06-22-2020,30454,841,15974.0,13639.0,621.1064848664695,349110.0,2471.0,2.7615419977671243,7120.065834758428,8.113876666447757,954359,22,237,2070,564,297,60,16,8821,13734,15,52,1465,1383,178,283,2185,5512,8,203,124,432,112,9554,1533,31,99,93,31,170,105,291,1150,35,1078,891,32,369,10,965,28,10147,4974,81,2,560,132,104,239,18
Alabama,06-23-2020,31097,864,15974.0,14259.0,634.2204097948578,354038.0,2521.0,2.778403061388558,7220.5719343651135,8.106891340000644,958271,20,223,2006,542,298,67,34,8678,12480,18,69,1389,1241,143,246,2131,4999,18,172,119,498,119,8852,1417,29,93,99,24,152,116,328,1464,23,901,816,38,320,16,1072,25,9029,4764,79,11,582,117,105,210,17
Alabama,06-24-2020,32064,891,18866.0,12307.0,653.9422844538805,358759.0,2567.0,2.7788173652694605,7316.856288310557,8.005863273453095,968516,21,238,2319,562,300,68,27,8798,13419,13,55,1489,1388,176,243,2248,5627,23,181,130,511,118,9715,1469,25,98,96,15,122,99,322,1362,29,975,885,48,353,17,1089,28,9769,4854,81,5,552,138,102,218,18
